,Audio,text
0,Eu acredito que as medições oficiais ajudam aumentar é posições extremistas e incentivar posições extremistas num primeiro momento quando as mídias sociais surgiram alguns especialistas falavam que as mídias sociais não aumentavam é violência o extremismo é de modo geral apenas dava voz aquilo que já existia é no nosso dia a dia. Porém com o passar do tempo a gente começa a perceber que se impõe é como facilitam encontro é e a criação de comunidades onde as pessoas conseguem ter voz encontrar suas audiências então de certa forma facilita sim é o encontro dessas pessoas que já têm determinados opiniões é extremistas e também facilita com que elas fiquem cada vez mais numa bolha é cada vez mais você vais conectando com pessoas que você tem afinidade e acaba ficando o é isolado sem é a acesso a outras opiniões e isso vai alimentando cada vez mais é posições extremistas e hoje em dia é muito. Não existem só perfis. É também respício às reais e tem vinte muita mídia sintética é perfis que são criados para a é alavancar o tipo de opiniões então cada vez mais com um é hua o avanço da inteligência artificial. É essas mídias sintéticas é e x que são criados só para atrair esse tipo de pini opinião fomentada terminados tipos de opinião não ficar cada vez mais ativos também nas redes sociais.,acreditar medicoes oficiais ajudar aumentar posicoes extremistas incentivar posicoes extremistas primeiro momento midias sociais surgir alguns especialistas falar midias sociais aumentar violencia extremismo modo geral apenas dar voz existir dia dia porem passar tempo gente comeca perceber impor facilitar encontro criacao comunidades onde pessoas conseguir voz encontrar audiencias entao certa forma facilita encontro d pessoas tem determinar opinioes extremistas facilita ficar cada vez bolha cada vez vais conectar pessoas afinidade acaba ficar isolar acesso outras opinioes alimentar cada vez posicoes extremistas hoje dia existir perfis respicio s reais vinte muita midia sintetica perfis criar alavancar tipo opinioes entao cada vez hua avanco inteligencia artificial midias sinteticas x criar atrair tipo pini opiniao fomentar terminados tipos opiniao ficar cada vez ativos redes sociais
1,Acho que as sanções municiados por que elas passam muito tempo nas redes sociais a lança carmo sendo influenciadas pelas opiniões de outras pessoas tendeu tipo assim. Um exemplo se o irã postasse alguma coisa ana semana que os estados unidos atacou o que no seu que que tava indo para atacar. A população do irã e está contra o estados unidos né e. Os estados unidos a população isca contra o irã. Entendeu o outro exemplo é tipo sim agressão de que teve no bolsão mário dos me dezoito os muitos pessoas falavam que o peter que mando a é o cano anos agrediu russomano. Um mas provoca.,achar sancoes municiar passar tempo redes sociais lanca carmo ser influenciadas opinioes outras pessoas tender tipo assim exemplo ira postar alguma ana semana estados unidos atacar tava ir atacar populacao ira contra estados unidos ne e. estados unidos populacao isca contra ira entender outro exemplo tipo agressao bolsao mario dezoito muitos pessoas falar peter mandar cano anos agredir russomano provocar
2,Vão quando gente fala de internet a gente tem. Um um assunto complicado é a nossa vida porque ao mesmo tempo que essa essa rede ajudou muito na trocas de informações e dados e conhecimentos como nunca antes ela também é dissemina algo perigoso alvo o que permite que seja compartilhada a falta de informações permite que seja compartilhada ódio gratuito permite que seja compartilhada posições é. Até a extremistas porque ela não tem um um um filtro que te impede de dizer o que você quer então ao mesmo tempo que você pode é a essas é a fé afirmar coisas. Com um total propriedade de com base em estudos com base em pesquisas também pode afirmar coisas sem ter base de ou preparação nem uma para dizer aquilo e quando você se esconde em algo que a internet nos oferece que é um anonimato seguro fica ainda mais fácil disseminar a tudo aquilo que não é ético mente correto porque no fim você essa mas um entrou e ninguém realmente sabe quem você é e a internet também é aumentou algo que foi e como disse e a disseminação de notícias falsas é de é informações duvidosas e isso muitas vezes é não leva as pessoas a polarizar em questões é a a tomarem uma opinião que não é delas que é de algum influências ou de alguma alguma pessoa que relevante na mídia e assumirem esse idéia e cada vez mais vinte vai polarizando lados há anos com o surgimento de ressocializar também a gente tem visto como surgiram intrigas principalmente na época de eleições e agora nesse período político pouco delicado como surgem intrigas entre internautas e como eles cada vez mais é polarizam e muitas vezes de polarizam. O o assunto em questão e levam suas idéias pela dos extremistas baseados em políticas baseados vinho é idéias e ideais próprios que não tem uma base de pesquisa é puramente dita isso é em si ao muito perigoso quando é amplificado pelas inundações de notícias falsas quando é amplificado por uma região muito grande tronos por o jornalismo que atualmente é falho então um de um jeito ou de outras especiais mesmo que boas para causar discussões as também trouxeram isto do de uma polarização extremista de idéias e opiniões que não são mais discutidos como onde.,vao gente falir internet gente assunto complicar vida tempo rede ajudar trocas informacoes dados conhecimentos nunca antes dissemina algo perigoso alvo permitir compartilhar falta informacoes permitir compartilhar odio gratuito permitir compartilhar posicoes extremistas filtro impedir dizer querer entao tempo fe afirmar total propriedade base estudos base pesquisas afirmar base preparacao dizer esconder algo internet oferecer anonimato seguro ficar ainda facil disseminar etico mente correto fim entrar ninguem realmente saber internet aumentar algo dizer disseminacao noticias falsas informacoes duvidosas muitas vezes levar pessoas polarizar questoes tomar opiniao d algum influencias alguma alguma pessoa relevante midia assumir ideia cada vez vinte polarizar lados anos surgimento ressocializar gente vestir surgir intrigas principalmente epoca eleicoes agora periodo politico pouco delicado surgir intrigas internautas cada vez polarizam muitas vezes polarizam assunto questao levar ideias extremistas basear politicas basear vinho ideias ideais proprios base pesquisa puramente dizer si perigoso amplificar inundacoes noticias falsas amplificar regiao grande tronos jornalismo atualmente falho entao jeito outras especiais bom causar discussoes trazer polarizacao extremista ideias opinioes discutir onde
3,Acredito que sim uma vez que as posições extremistas são ocasionadas sempre movimentos sociais e políticos estão diretamente ligados ao meio e a sociedade que a gente vive na. Ana hoje as redes sociais fossem presentes na vida das pessoas de liberdade de de expressão se manifesta nessas regiões meio dia sociedade que gente vive a influência ano nessa rede essa influenciação faz com que quando alguém não concorde com a opinião das pessoas que convivem na sua volta sim de vido ele simplesmente por não concordar com o grupo de pode ser excluído desse grupo então com isso ele costuma atender a ter as mesmas opiniões que as pessoas que ele convive e com a pressão da sociedade é uma e o medo de ser excluído do grupo de pessoas acabam se tornando radicais extremistas principalmente com a influência da rede social.,acreditar vez posicoes extremistas ocasionar sempre movimentos sociais politicos diretamente ligar meio sociedade gente viver ana hoje redes sociais presentes vida pessoas liberdade expressao manifesta regioes meio dia sociedade gente viver influencia ano rede influenciacao fazer alguem concordar opiniao pessoas conviver volta vidar simplesmente concordar grupo ser excluir d grupo entao costuma atender mesmas opinioes pessoas conviver pressao sociedade medo ser excluir grupo pessoas acabam tornar radicais extremistas principalmente influencia rede social
4,Eu assistia as posições extremistas sempre existirão nos últimos anos a gente tem tido crescimento dessas posições com mais freqüência esse não é à toa para minhas redes sociais deram voz uma legião de pessoas os cem claro que jamais a gente pode ver alisar mas muito das pessoas encontraram nas redes sociais local para se manifestar porque não ficarem caladas a dependendo dos de beck dos seus posts na muita gente é parte para covardia mas resumindo não acho que essas posições extremistas aumentaram nos últimos tempos as quela sempre existiram a diferença é que agora de tem as rede sociais que transmitem essas mensagens desse tipo para um número cada vez maior de pessoas e por isso a gente pode ter essa sensação de que tacada que toque de acrescente as a as suas posições.,assistir posicoes extremistas sempre existir ultimos anos gente ter crescimento d posicoes frequencia toar redes sociais dar voz legiao pessoas cem claro jamais gente alisar pessoas encontrar redes sociais local manifestar ficar calar depender beck posts muita gente parte covardia resumir achar posicoes extremistas aumentar ultimos tempos quela sempre existir diferenca agora rede sociais transmitir mensagens d tipo numero cada vez maior pessoas gente sensacao tacar toque acrescente posicoes
5,Ola vavá que vinham acho que há uma que aumenta as fusões misto que os na internet diversos sucessos como twitter pênfigo tão pessoas plantão sem que ninhos e isso gera uma receita que news e mobilizar o boa parte dessas flores alecrim verdade nem sempre é.,ola vava vir acho aumentar fusoes misto internet diversos sucessos twitter penfigo pessoas plantao ninhos gerar receita news mobilizar boa parte d flores alecrim verdade sempre
6,Acredito que as redes sociais digitais ajudam aumentar posições extremistas o incentivo da intolerância nas redes sociais é uma das maiores questões que rodeio meio tecnológico desde que a internet se tornou famosa as pessoas a vêem os anos dos mais variados modos. Em todos os cenários sempre haverá algo bom e ruim sobre a internet. De primeira o propósito parece uma maravilha pensando em sua complexidade e em como pode garantir coletividade de forma rápida e barata à globalização mas se você olhar de perto verá que este constância são pouco mais complicado do que parece isso acontece porque a internet criou um anonimato seguro ultimamente tornou se muito fato se esquivar das responsabilidades do que se fala por trás. De um apelido inventado ou de uma foto falsa. Essa simplicidade em se criar um perfil totalmente novo abriu as portas para algo mais perigoso. Também apelidado de ódio gratuito. De forma geral todo ode estalar espalhado pela internet torne prejudicial para quem veio ou para quem o compartilha e novamente problema agrado se ainda mais quando sendo uma consequência desastrosa amplificado do que já vivemos aqui fora o reflexo de um povo que esconde sua intolerante seus julgamentos hediondos em discursar juto liberdade de expressão.,acreditar redes sociais digitais ajudar aumentar posicoes extremista incentivo intolerancia redes sociais maiores questoes rodear meio tecnologico desde internet tornar famosa pessoas ver anos variar modo todos cenarios sempre haver algo bom ruim sobre internet primeira proposito parecer maravilha pensar complexidade garantir coletividade forma rapida barata globalizacao olhar perto ver constancia pouco complicar parecer acontecer internet criar anonimato seguro ultimamente tornar fato esquivar responsabilidades falir tras apelido inventar foto falsa simplicidade criar perfil totalmente novo abrir portas algo perigoso apelidar odio gratuito forma geral todo ode estalar espalhar internet tornar prejudicial veio compartilhar novamente problema agradar ainda sendo consequencia desastrosa amplificar viver aqui reflexo povo esconder intolerante julgamentos hediondo discursar juto liberdade expressao
7,Como filiais extremismo. Como sempre fez fio mais pelo menos últimos cinquenta anos fio meio relevo eles nao estao nem um como um como um café em linhas mais extremo acabava filial gema que aliás pela sociedade disse com as redes sociais não como que você vai ver que mais e mais diversificada estímulo na às vezes é muito maior do que ano. Fora isso esse diálogo é um processo natural que expressa quando você vem com um grupo religioso com pena de morte em uníssono isso ocorre com mais não são agentes de extremismo que recebo e vícios de sociais elas estimulam o debate e aí é a sociedade que não tem que aprender. Chegou o momento em que esse debate vai ser vai parecer mais acalorado menos apelo mais é uma coisa que não ocorria.,filiais extremismo sempre fazer fio menos ultimos cinquenta anos fio meio relevo nao estao cafe linhas extremo acabar filial gema alias sociedade dizer redes sociais diversificada estimulo s vezes maior ano dialogo processo natural expresso vir grupo religioso pena morte unissono ocorrer agentes extremismo receber vicios sociais estimular debate ai sociedade aprender chegar momento debate ser parecer acalorar menos apelo ocorrer
8,Como filiais extremismo. Como sempre fez fio mais pelo menos últimos cinquenta anos fio meio relevo eles nao estao nem um como um como um café em linhas mais extremo acabava filial gema que aliás pela sociedade disse com as redes sociais não como que você vai ver que mais e mais diversificada estímulo na às vezes é muito maior do que ano. Fora isso esse diálogo é um processo natural que expressa quando você vem com um grupo religioso com pena de morte em uníssono isso ocorre com mais não são agentes de extremismo que recebo e vícios de sociais elas estimulam o debate e aí é a sociedade que não tem que aprender. Chegou o momento em que esse debate vai ser vai parecer mais acalorado menos apelo mais é uma coisa que não ocorria.,filiais extremismo sempre fazer fio menos ultimos cinquenta anos fio meio relevo nao estao cafe linhas extremo acabar filial gema alias sociedade dizer redes sociais diversificada estimulo s vezes maior ano dialogo processo natural expresso vir grupo religioso pena morte unissono ocorrer agentes extremismo receber vicios sociais estimular debate ai sociedade aprender chegar momento debate ser parecer acalorar menos apelo ocorrer
9,Pior. É a questão é você acredita que as redes sociais digitais ajudam a aumentar as posições de ministros. O que você tem só esta opinião. Bem. Eu não acredito que o país. Mundo vamos dizer os campo mais abrangente vem passando por uma transformação de acesso a notícias e informações em pessoas de um modo nunca visto antes. É isso tem e tornando as pessoas muito to de dizer sim vulneráveis a tantas informações vindas de tantos lugares diferentes. É o que que o vive junto sem nisso vence volume de informações chegando de vários lugares de várias fontes e que várias perspectivas né um fato ilha transformado conforme a linguagem que é proposta na aquela notícia naquele leito me tio naquele e naquela foto do dos do insta aquela aquele fato a ele possa ser é visto com bons olhos do gerador. Da que ela anda que linda que a rede social tão um por exemplo é caiu um copo no restaurante na pessoa com um pelo twitter de que aquele como caiu o restaurante. Tá só isso mútuo mas na mático lance nossa garçon vai ser mandada embora porque caiu um copo no restaurante talvez uma outra pessoa valises mansa que pra gente nica bo comprar essa marca. Então um as variáveis das pessoas que geram mundo informa a informação sobre o fato é que transforma essas posições talvez em posições extremistas. Isso é uma verdade para tudo acredito que não. Acredito que. Essas posições extremistas    indivíduos ana não é um ela não pode ser considerada uma quis ver assim uma condição em. Sine com a não um para todos. Tão nos. O extremismo está muito vivo e não necessariamente nas redes sociais ...                    que ele pode não só através dos meios digitais mais através de seu seu comportamento diário ser extremista não os anos rio digitais relações só são um meio de propagação o principal ator de tudo isso. É a pessoa. Grande abraço meu amigo gregas.,pior questao acreditar redes sociais digitais ajudar aumentar posicoes ministros opiniao bem acreditar pais mundo vamos dizer campo abrangente vem passar transformacao acesso noticias informacoes pessoas modo nunca vestir antes tornar pessoas to dizer vulneraveis tantas informacoes vir tantos lugares diferentes viver junto vencer volume informacoes chegar varios lugares varias fontes varias perspectivas ne fato ilha transformar conforme linguagem proposto noticia leito tio foto instar fato possa ser vestir bons olhos gerador andar linda rede social exemplo cair copo restaurante pessoa twitter cair restaurante ta mutuo matico lance garcon ser mandar embora cair copo restaurante talvez outra pessoa valises mansa pra gente nica bo comprar marca entao variaveis pessoas gerar mundo informar informacao sobre fato transformar posicoes talvez posicoes extremistas verdade acredito acreditar posicoes extremistas     individuos ana ser considerar quis assim condicao sine todos extremismo vivo necessariamente redes sociais ...                     atraves meios digitais atraves comportamento diario ser extremista anos rio digitais relacoes meio propagacao principal ator pessoa grande abracar amigo gregas
